Ticker,Return [%],WinRate [%],MaxDD [%],Trades
AMBA,0.0,0.0,-0.0,0
AMBC,0.0,0.0,-0.0,0
AMBP,0.0,0.0,-0.0,0
AMBP.W,0.0,0.0,0.0,0
AMBR,0.0,0.0,-0.0,0
AMC,0.0,0.0,-0.0,0
AMCR,0.0,0.0,-0.0,0
AMCX,0.0,0.0,-0.0,0
AMD,0.0,0.0,-0.0,0
AMDD,0.0,0.0,0.0,0
AMDG,0.0,0.0,0.0,0
AMDL,0.0,0.0,-0.0,0
AME,0.0,0.0,-0.0,0
AMED,0.0,0.0,-0.0,0
AMG,0.0,0.0,-0.0,0
AMGN,0.0,0.0,-0.0,0
AMH,0.0,0.0,-0.0,0
AMH$G,0.0,0.0,0.0,0
AMH$H,0.0,0.0,0.0,0
AMID,0.0,0.0,-0.0,0
AMIX,0.0,0.0,-0.0,0
AMKR,0.0,0.0,-0.0,0
AMLX,0.0,0.0,-0.0,0
AMN,0.0,0.0,-0.0,0
AMOD,0.0,0.0,-0.0,0
AMODW,0.0,0.0,0.0,0
AMP,0.0,0.0,-0.0,0
AMPG,0.0,0.0,-0.0,0
AMPGW,0.0,0.0,-0.0,0
AMPH,0.0,0.0,-0.0,0
AMPL,0.0,0.0,-0.0,0
AMPX,0.0,0.0,-0.0,0
AMPX.W,0.0,0.0,0.0,0
AMPY,0.0,0.0,-0.0,0
AMR,0.0,0.0,-0.0,0
AMRC,0.0,0.0,-0.0,0
AMRK,0.0,0.0,-0.0,0
AMRN,0.0,0.0,-0.0,0
AMRX,0.0,0.0,-0.0,0
AMRZ,0.0,0.0,0.0,0
AMSC,0.0,0.0,-0.0,0
AMSF,0.0,0.0,-0.0,0
AMST,0.0,0.0,-0.0,0
AMT,0.0,0.0,-0.0,0
AMTB,0.0,0.0,-0.0,0
AMTD,0.0,0.0,-0.0,0
AMTM,0.0,0.0,0.0,0
AMTX,0.0,0.0,-0.0,0
AMUU,0.0,0.0,0.0,0
AMWD,0.0,0.0,-0.0,0
AMWL,0.0,0.0,-0.0,0
AMX,0.0,0.0,-0.0,0
AMZD,0.0,0.0,-0.0,0
AMZN,0.0,0.0,-0.0,0
AMZU,0.0,0.0,-0.0,0
AMZZ,0.0,0.0,-0.0,0
AN,0.0,0.0,-0.0,0
ANAB,0.0,0.0,-0.0,0
ANDE,0.0,0.0,-0.0,0
ANEB,0.0,0.0,-0.0,0
ANET,0.0,0.0,-0.0,0
ANF,0.0,0.0,-0.0,0
ANG$B,0.0,0.0,0.0,0
ANG$D,0.0,0.0,0.0,0
ANGH,0.0,0.0,-0.0,0
ANGHW,0.0,0.0,0.0,0
ANGI,0.0,0.0,-0.0,0
ANGL,0.0,0.0,-0.0,0
ANGO,0.0,0.0,-0.0,0
ANIK,0.0,0.0,-0.0,0
ANIP,0.0,0.0,-0.0,0
ANIX,0.0,0.0,-0.0,0
ANL,0.0,0.0,-0.0,0
